VARIABLE NAME,LABEL,RELATED PUF CONSTRUCT,SUGGESTED CONSTRUCT,CHIS 2023,CHIS 2021-2022,CHIS 2022,CHIS 2021,CHIS 2019-2020,CHIS 2020,CHIS 2019,CHIS 2017-2018,CHIS 2018,CHIS 2017,CHIS 2015-2016,CHIS 2016,CHIS 2015,CHIS 2013-2014,CHIS 2014,CHIS 2013,CHIS 2011-2012,CHIS 2012,CHIS 2011,CHIS 2009,CHIS 2007,CHIS 2005,CHIS 2003,CHIS 2001,NOTES,
IA12,TEEN'S HEALTH PLAN REQUIRES REFERRAL FOR SPECIALIST,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
SPEC,PLAN REQUIRES APPROVAL TO SEE SPECIALIST,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
IA14NEW,Rx COVERAGE EDITED FOR MEDICAL/HF,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,ADJUSTED FOR RX COVERAGE UNDER MEDI-CAL AND HEALTHY FAMILIES (TEENS WITH MEDI-CAL OR HEALTHY FAMILIES WILL HAVE RX COVERAGE),
IA15,TEEN COVERED FOR EYE EXAMS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
IA15NEW,EYE EXAMS COVERAGE EDITED FOR MEDICAL/HF,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,ADJUSTED FOR EYE EXAM COVERAGE UNDER MEDI-CAL AND HEALTHY FAMILIES (TEENS WITH MEDI-CAL OR HEALTHY FAMILIES WILL HAVE EYE EXAM COVERAGE),
IA16,TEEN COVERED FOR GLASSES,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
IA16NEW,GLASSES COVERAGE EDITED FOR MEDICAL/HF,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,ADJUSTED FOR GLASSES COVERAGE UNDER MEDI-CAL AND HEALTHY FAMILIES (TEENS WITH MEDI-CAL OR HEALTHY FAMILIES WILL HAVE EYE EXAM COVERAGE),
MA9,RATING OF TEEN'S HEALTH CARE IN PAST 12 MOS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
MA10NEW,DENTAL CARE EDITED FOR MEDICAL/HF,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
AH42,COUNTY LIVES IN,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
SECTION L,"ACADEMIC PERFORMANCE, EXTRACURRICULAR/CIVIC ENGAGEMENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,
TL25,CARES DEEPLY ABOUT ISSUES IN COMMUNITY,,,X,,X,X,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Reclaimed from CHIS 2014,
TL27,BELIEVES CAN MAKE A DIFFERENCE IN THE COMMUNITY,,,X,,X,X,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Reclaimed from CHIS 2014,
TL28,FEELS CONNECTED TO OTHERS WHOSE WORK IMPROVES SOCIETY,,,X,,X,X,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Reclaimed from CHIS 2014,
TL50,EVER VOLUNTEERED TO SOLVE PROBLEM IN THE COMMUNITY,,,X,,X,X,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL10,PARTICIPATE IN CLUBS/ORGS OUTSIDE SCHOOL PAST YR,,,X,,X,X,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,N/A,N/A,RECLAIMED IN CHIS 2021,
TL52,CONFIDENCE TO EXPRESS VIEWS IN FRONT OF GROUP,,,X,,X,X,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL53,CONFIDENCE TO CONTACT SOMEONE IN THE GOVT WHO REPRESENTS COMMUNITY,,,X,,X,X,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL54,VOTING GIVES PEOPLE A CHANCE TO INFLUENCE HOW THINGS ARE RUN,,,X,,X,X,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL63,HOW LIKELY TO GO TO COLLEGE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL64,HOW COVID INFLUENCED COLLEGE PLANS,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
COVID_COLLEGE,COVID PANDEMIC NEGATIVELY INFLUENCED COLLEGE ATTENDANCE PLANS,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV CREATED IN CHIS 2023.,
TL61,EVER BEEN ARRESTED AND BOOKED FOR BREAKING THE LAW,,,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL62,SOMEONE LIVING WITH EVER BEEN ARRESTED AND BOOKED FOR BREAKING THE LAW,,,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH8,ADULT(S) CARE ABOUT ME AT SCHOOL,,SCHSS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,,,,N/A,N/A,N/A,,N/A,,
TH9,ADULT(S) NOTICE WHEN ABSENT AT SCHOOL,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,,,,N/A,N/A,N/A,,N/A,,
TH10,ADULT(S) LISTEN TO ME AT SCHOOL,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,,,,N/A,N/A,N/A,,N/A,,
TH11,ADULT(S) PRAISE GOOD WORK AT SCHOOL,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,,,,N/A,N/A,N/A,,N/A,,
TH12,ADULT(S) WANT ME TO DO MY BEST AT SCHOOL,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,,,,N/A,N/A,N/A,,N/A,,
TH14,ADULT(S) AT HOME CARES ABOUT SCHOOLWORK,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
TH15,ADULT(S) AT HOME LISTENS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
TH16,ADULT(S) AT HOME TALKS ABOUT MY PROBLEMS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
TH18,ADULT AT HOME WANTS ME TO DO MY BEST,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
TH19,ADULT AT HOME BELIEVES I WILL BE A SUCCESS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
TH21,DONE VOLUNTEER WORK OR COMMUNITY SERVICES IN PAST 12 MOS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,N/A,N/A,,N/A,,
TH17,ADULT AT HOME NOTICES BAD MOOD,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
TH20,ADULT AT HOME EXPECTS ME TO FOLLOW RULES,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
TH13,ADULT(S) NOTICE MY BAD MOOD AT SCHOOL,,SCHSS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,,N/A,N/A,N/A,,N/A,,
HSSTUD,HIGH SCHOOL STUDENT,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TA10,GRADES RECEIVED ON LAST REPORT CARD,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TA11,PARTICIPATED IN HIGH SCHOOL ESL PROGRAM,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TA12,PARTICIPATED IN HIGH SCHOOL SPECIAL ED PROGRAM,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TA13,EVER BEEN SUSPENDED/EXPELLED IN HIGH SCHOOL,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TA14,HIGH SCHOOL ACTIVITY: ARTS-RELATED,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TA15,HIGH SCHOOL ACTIVITY: NEWSPAPER OR YEARBOOK,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TA16,HIGH SCHOOL ACTIVITY: HONORS SOCIETY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TA17,HIGH SCHOOL ACTIVITY: STUDENT GOVT OR ASB,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TA18,HIGH SCHOOL ACTIVITY: DEBATE TEAM,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TA19,HIGH SCHOOL ACTIVITY: YOUTH CTR OR GIRLS/BOYS CLUB,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TA8,CURRENT SCHOOL GRADE LEVEL,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TA9,PAST SCHOOL GRADE LEVEL WHEN LAST ATTENDED,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL12,PARTICPATED IN ORG/GRP TO MAKE DIFFERENCE SINCE START OF HIGH SCHOOL,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL13,# OF ORGS/GRPS INVOLVED IN TO MAKE DIFFERENCE SINCE START HS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL14,HIGH SCHOOL ACTIVITY: RELIGIOUS GRP/ORG,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL16,HIGH SCHOOL ACTIVITY: POLITICAL GRP/ORG,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL17,INVOLVEMENT IN GRP/ORG: HELPED MAKE DECISIONS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL18,INVOLVEMENT IN GRP/ORG: HELPED OUTREACH,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL19,PARTICIPATED IN OTHER ACTIVITIES SINCE START HIGH SCHOOL,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL20_1,TEEN INVOLVED IN H.S. ACTIVITIES: ACADEMIC / SUBJECT MATTER / BUSINESS CLUB,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL20_2,TEEN INVOLVED IN H.S. ACTIVITIES: BAND,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL20_3,TEEN INVOLVED IN H.S. ACTIVITIES: CHEERLEADING,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL20_4,TEEN INVOLVED IN H.S. ACTIVITIES: ETHNIC / BLACK / LATINO/ ASIAN YOUTH ORG,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL20_5,TEEN INVOLVED IN H.S. ACTIVITIES: SPORTS TEAM,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL20_6,TEEN INVOLVED IN H.S. ACTIVITIES: OTHER ACTIVITY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL20_A,TEEN INVOLVED IN H.S. ACTIVITIES: EXTRA-CURRICULAR ACTIVITIES IN HS - 1ST,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL20_B,TEEN INVOLVED IN H.S. ACTIVITIES: EXTRA-CURRICULAR ACTIVITIES IN HS - 2ND,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL20_C,TEEN INVOLVED IN H.S. ACTIVITIES: EXTRA-CURRICULAR ACTIVITIES IN HS - 3RD,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL20_D,TEEN INVOLVED IN H.S. ACTIVITIES: EXTRA-CURRICULAR ACTIVITIES IN HS - 4TH,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL20_E,TEEN INVOLVED IN H.S. ACTIVITIES: EXTRA-CURRICULAR ACTIVITIES IN HS - 5TH,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL20_F,TEEN INVOLVED IN H.S. ACTIVITIES: EXTRA-CURRICULAR ACTIVITIES IN HS - 6TH,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL21,OTH HIGH SCHOOL ACTIVITIES: HELP MAKE DECISIONS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL22,OTH HIGH SCHOOL ACTIVITIES: HELP WITH OUTREACH,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL24,PARENT/GUARDIAN FOLLOWS GOVT OR PUBLIC AFFAIRS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL23,LIKELIHOOD OF ATTENDING COLLEGE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL26,CARES DEEPLY ABOUT HLTH ISSUES IN COMMUNITY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TL29,BELIEVES ALL HAVE EQUAL CHANCE TO SUCCEED IN U.S.,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH5,FREQUENCY OF AN ADULT AROUND DURING AFTER SCHOOL HRS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,
TH22,ADMIRES AND WOULD WANT TO BE LIKE SOME PERSON,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,,N/A,,
TH23,ADMIRES PERSON'S CATEGORY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,,N/A,,
TJ1,# OF YEARS TEEN HAS ADMIRED SOMEONE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,"EXCLUDED VALUE ""91"" IN CALCULATING THE MEAN",
SCHSS,SCHOOL SUPPORT SCALE (SSS),,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,CONSTRUCTED USING TH8-TH13.  SCORES RANGE 6-24.  FOR MORE INFORMATION PLEASE SEE: http://chks.wested.org/resources/REL_RYDM2007034.pdf,
HHINC,HOUSEHOLD INCOME,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
RACECENA,RACE OF ADULT RESPONDENT - CENSUS 2000 DEFINITION,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
RACEDOFA,RACE OF ADULT RESPONDENT - DEPARTMENT OF FINANCE DEFINITION,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
RACEHPRA,RACE OF ADULT RESPONDENT - UCLA CHPR DEFINITION,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
SRAA_A,SELF-REPORTED AFRICAN AMERICAN OF ADULT,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
SRAI_A,SELF-REPORTED NATIVE AM/ ALASKA NATIVE (WESTAT) OF ADULT,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
SRAS_A,SELF-REPORTED ASIAN (WESTAT) OF ADULT,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
SRO_A,SELF-REPORTED OTHER RACE OF ADULT,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
SRPI_A,SELF-REPORTED PACIFIC ISLANDER OF ADULT (WESTAT),,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
SRW_A,SELF-REPORTED WHITE (WESTAT) OF ADULT,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
AHEDU,ADULT EDUCATION (4 LVLS),,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,SEE F_AHEDU FOR IMPUTATION FLAG,
SECTION M,PUBLIC PROGRAM PARTICIPATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAP1V2,RECEIVING TANF OR CALWORKS,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PROXY RESPONDENTS NOT INCLUDED IN THIS QUESTION. Previous version: IAP1.; Previous version: IAP1,
IAP2V2,RECEIVING FOOD STAMP BENEFITS,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PROXY RESPONDENTS NOT INCLUDED IN THIS QUESTION. Previous version: IAP2.; Previous version: IAP2,
IAP1,RECEIVING TANF OR CALWORKS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,MAY NOT BE TRENDABLE WITH CHIS 2001 IAP1;,
IAP2,RECEIVING FOOD STAMP BENEFITS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,MAY NOT BE TRENDABLE WITH CHIS 2001 IAP2;,
RSN_NOMC,REASONS FOR NOT HAVING MEDI-CAL,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
RSN_NOHF,REASONS FOR NOT HAVING HEALTHY FAMILIE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
CHLDTOT,COUNT OF ALL CHILDREN 01-11 IN HOUSEHOLD,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TEENTOT,COUNT OF ALL ADOLESCENTS 12-17 IN HOUSEHOLD,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
POVERTY,"POVERTY LEVEL BASED ON AK12, AK14, AK16, AND/OR AK18A (WESTAT)",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
RDD_KRVT,FRAME SOURCE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
RDD_LIST,RDD AND LIST OVERLAP,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
SAMPLE,FLAG INDICATING RDD OR LIST SAMPLE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
